OrderID,OrderDate,Region,Category,Product,Quantity,UnitPrice,DiscountPct,Revenue,Cost,Profit,PaymentMethod,CustomerID
ORD100000,2024-04-12,East,Electronics,Smartphone,4,57052.72,10,205389.79,159671.08,45718.71,UPI,CUST2638
ORD100001,2024-05-01,North,Apparel,Jeans,3,534.9,5,1524.46,1016.46,508.0,Debit Card,CUST1130
ORD100002,2025-10-23,West,Electronics,Tablet,5,58200.61,15,247352.59,175499.51,71853.08,Credit Card,CUST2215
ORD100003,2024-10-03,South,Electronics,Smartphone,1,18393.69,5,17474.01,12102.8,5371.21,UPI,CUST1474
ORD100004,2024-02-28,Central,Sports,Cricket Bat,10,329.66,25,2472.45,2004.97,467.48,UPI,CUST1562
ORD100005,2025-07-20,South,Sports,Football,4,2430.8,0,9723.2,6824.58,2898.62,COD,CUST3068
ORD100006,2024-06-15,North,Sports,Dumbbells,2,3803.21,25,5704.82,5720.78,-15.96,UPI,CUST2363
ORD100007,2024-04-01,East,Beauty,Lipstick,7,2498.49,15,14866.02,10377.2,4488.82,UPI,CUST2955
ORD100008,2025-07-15,North,Apparel,Jacket,8,3058.14,5,23241.86,14727.65,8514.21,Credit Card,CUST2500
ORD100009,2025-12-03,East,Beauty,Face Wash,2,3134.26,20,5014.82,4850.0,164.82,Net Banking,CUST3317
ORD100010,2024-09-27,North,Sports,Dumbbells,8,2346.21,5,17831.2,14833.55,2997.65,COD,CUST1337
ORD100011,2024-02-22,West,Sports,Cricket Bat,8,1523.5,0,12188.0,8356.99,3831.01,Credit Card,CUST2180
ORD100012,2024-01-15,Central,Sports,Dumbbells,1,210.2,5,199.69,136.36,63.33,Net Banking,CUST2495
ORD100013,2024-03-03,North,Sports,Yoga Mat,11,915.54,10,9063.85,7528.47,1535.38,Credit Card,CUST1378
ORD100014,2025-05-04,North,Apparel,Jacket,7,2656.65,20,14877.24,14180.05,697.19,UPI,CUST1779
ORD100015,2024-02-02,East,Electronics,Smartwatch,7,18796.74,0,131577.18,96367.33,35209.85,COD,CUST2895
ORD100016,2025-12-26,East,Home & Kitchen,Cookware Set,11,2310.79,5,24147.76,20155.19,3992.57,Net Banking,CUST2028
ORD100017,2024-08-05,North,Apparel,Jacket,7,3118.22,5,20736.16,14857.64,5878.52,Debit Card,CUST2038
ORD100018,2025-07-07,South,Apparel,Kurta,3,271.0,10,731.7,511.04,220.66,UPI,CUST1095
ORD100019,2025-04-29,East,Beauty,Hair Serum,7,2477.01,5,16472.12,10416.71,6055.41,Debit Card,CUST2183
ORD100020,2025-11-29,North,Apparel,Jacket,3,770.7,20,1849.68,1738.77,110.91,UPI,CUST1795
ORD100021,2024-01-28,West,Electronics,Headphones,4,53575.03,5,203585.11,161123.7,42461.41,Net Banking,CUST2496
ORD100022,2024-08-18,Central,Electronics,Laptop,1,16473.51,10,14826.16,9062.57,5763.59,Net Banking,CUST1972
ORD100023,2024-09-15,West,Apparel,Sneakers,7,783.93,5,5213.13,3683.26,1529.87,COD,CUST2257
ORD100024,2025-11-14,South,Apparel,Jacket,8,3780.2,0,30241.6,20555.14,9686.46,UPI,CUST2136
ORD100025,2025-05-11,Central,Sports,Dumbbells,10,3855.42,0,38554.2,25997.56,12556.64,COD,CUST2636
ORD100026,2025-09-16,East,Sports,Football,8,292.01,10,2102.47,1578.42,524.05,UPI,CUST2589
ORD100027,2024-08-12,West,Apparel,Kurta,1,1072.31,0,1072.31,720.98,351.33,Credit Card,CUST2695
ORD100028,2025-12-10,South,Electronics,Smartphone,7,40393.71,15,240342.57,172314.14,68028.43,UPI,CUST1766
ORD100029,2024-10-20,West,Beauty,Face Wash,8,1960.66,25,11763.96,10190.82,1573.14,COD,CUST3191
ORD100030,2025-08-31,Central,Sports,Football,9,1385.0,0,12465.0,6982.82,5482.18,Net Banking,CUST1659
ORD100031,2025-02-06,North,Sports,Cricket Bat,10,2121.56,0,21215.6,15090.51,6125.09,Debit Card,CUST2843
ORD100032,2025-05-03,North,Home & Kitchen,Air Fryer,1,1680.65,5,1596.62,1276.33,320.29,Net Banking,CUST2802
ORD100033,2025-04-17,West,Beauty,Perfume,2,3710.07,20,5936.11,4559.57,1376.54,Credit Card,CUST2787
ORD100034,2024-05-23,Central,Home & Kitchen,Cookware Set,10,3931.35,5,37347.82,24185.95,13161.87,Credit Card,CUST2327
ORD100035,2024-09-10,South,Home & Kitchen,Cookware Set,5,3616.61,10,16274.74,11478.35,4796.39,Net Banking,CUST2682
ORD100036,2024-07-26,Central,Apparel,Kurta,3,3446.85,5,9823.52,7982.31,1841.21,Credit Card,CUST1627
ORD100037,2025-08-09,West,Sports,Dumbbells,1,772.27,20,617.82,541.83,75.99,Credit Card,CUST2496
ORD100038,2024-04-08,East,Electronics,Headphones,9,502.68,0,4524.12,3108.9,1415.22,UPI,CUST1956
ORD100039,2025-11-11,Central,Electronics,Laptop,4,42788.32,0,171153.28,108057.61,63095.67,Credit Card,CUST2527
ORD100040,2025-01-26,North,Electronics,Smartwatch,7,43312.21,0,303185.47,207874.59,95310.88,Debit Card,CUST1954
ORD100041,2025-04-14,West,Apparel,Jeans,7,1114.28,10,7019.96,6198.81,821.15,Debit Card,CUST1562
ORD100042,2025-03-13,Central,Apparel,Jacket,8,2579.88,15,17543.18,13944.96,3598.22,Debit Card,CUST3331
ORD100043,2025-04-25,Central,Beauty,Perfume,5,1036.21,5,4922.0,3590.47,1331.53,UPI,CUST2215
ORD100044,2024-02-18,East,Home & Kitchen,Bedsheet Set,1,3979.02,5,3780.07,2466.56,1313.51,COD,CUST3146
ORD100045,2024-02-06,North,Sports,Football,8,1423.39,10,10248.41,7892.11,2356.3,UPI,CUST1699
ORD100046,2024-04-25,East,Apparel,T-Shirt,5,885.01,0,4425.05,2970.62,1454.43,Credit Card,CUST3065
ORD100047,2025-07-19,Central,Sports,Yoga Mat,10,3730.56,0,37305.6,22466.54,14839.06,UPI,CUST2686
ORD100048,2025-09-30,North,Electronics,Smartphone,11,17858.38,0,196442.18,149721.84,46720.34,UPI,CUST1245
ORD100049,2024-06-24,East,Electronics,Smartphone,7,17756.79,15,105652.9,93537.41,12115.49,Credit Card,CUST1920
ORD100050,2025-02-11,East,Sports,Yoga Mat,10,169.96,10,1529.64,1017.33,512.31,COD,CUST1399
ORD100051,2025-10-15,South,Apparel,Kurta,3,1451.28,5,4136.15,2496.91,1639.24,Debit Card,CUST2982
ORD100052,2024-02-20,South,Sports,Football,9,746.91,25,5041.64,5107.07,-65.43,COD,CUST3352
ORD100053,2025-11-22,North,Beauty,Perfume,10,3317.01,5,31511.6,19297.21,12214.39,Credit Card,CUST3311
ORD100054,2024-02-22,West,Beauty,Lipstick,5,1910.47,15,8119.5,5717.99,2401.51,COD,CUST1046
ORD100055,2025-10-17,North,Beauty,Face Wash,2,2137.76,0,4275.52,3201.49,1074.03,Credit Card,CUST1830
ORD100056,2025-08-26,North,Beauty,Lipstick,10,452.06,0,4520.6,3574.27,946.33,UPI,CUST2150
ORD100057,2025-01-27,Central,Apparel,Jeans,5,374.05,20,1496.2,1235.46,260.74,COD,CUST2119
ORD100058,2025-09-29,South,Apparel,Sneakers,6,2901.19,10,15666.43,10792.14,4874.29,Net Banking,CUST2212
ORD100059,2025-12-04,North,Beauty,Perfume,5,2505.12,5,11899.32,7664.82,4234.5,COD,CUST2679
ORD100060,2025-03-10,North,Sports,Cricket Bat,5,612.63,0,3063.15,1755.03,1308.12,Debit Card,CUST2008
ORD100061,2024-04-03,South,Electronics,Smartphone,4,10684.75,0,42739.0,31662.81,11076.19,UPI,CUST3388
ORD100062,2025-07-04,West,Beauty,Hair Serum,4,816.83,5,3103.95,2122.54,981.41,UPI,CUST2781
ORD100063,2024-04-09,South,Beauty,Face Wash,2,1154.44,0,2308.88,1808.68,500.2,COD,CUST2631
ORD100064,2024-11-20,East,Electronics,Smartwatch,4,37027.9,20,118489.28,116425.03,2064.25,COD,CUST1895
ORD100065,2024-06-08,Central,Home & Kitchen,Bedsheet Set,11,3233.65,10,32013.14,24662.27,7350.87,COD,CUST2568
ORD100066,2025-11-21,East,Apparel,Jeans,11,3774.64,5,39444.99,32813.98,6631.01,UPI,CUST2066
ORD100067,2025-07-09,Central,Electronics,Tablet,2,2530.0,10,4554.0,3208.74,1345.26,Credit Card,CUST1089
ORD100068,2025-08-27,North,Home & Kitchen,Mixer Grinder,10,2774.21,0,27742.1,17066.21,10675.89,Debit Card,CUST1825
ORD100069,2025-05-15,North,Beauty,Perfume,2,2571.43,20,4114.29,3773.66,340.63,Debit Card,CUST1675
ORD100070,2025-01-28,North,Electronics,Laptop,5,45086.76,15,191618.73,179811.92,11806.81,Debit Card,CUST2571
ORD100071,2024-04-05,West,Electronics,Laptop,8,52053.57,10,374785.7,253875.34,120910.36,Credit Card,CUST2548
ORD100072,2024-10-05,Central,Sports,Yoga Mat,9,1067.21,5,9124.65,6565.73,2558.92,Debit Card,CUST1595
ORD100073,2025-12-29,North,Electronics,Tablet,6,17998.58,0,107991.48,60839.3,47152.18,COD,CUST3492
ORD100074,2024-08-20,East,Sports,Dumbbells,3,501.45,0,1504.35,1184.7,319.65,UPI,CUST1850
ORD100075,2025-05-20,East,Home & Kitchen,Cookware Set,5,503.06,10,2263.77,1731.6,532.17,COD,CUST2492
ORD100076,2025-04-28,West,Apparel,Jacket,5,3197.58,15,13589.72,9157.89,4431.83,Net Banking,CUST2065
ORD100077,2024-07-04,West,Electronics,Smartphone,7,59756.69,0,418296.83,307138.17,111158.66,Debit Card,CUST1732
ORD100078,2024-08-22,North,Sports,Cricket Bat,11,600.71,0,6607.81,4892.27,1715.54,Debit Card,CUST2542
ORD100079,2024-06-22,East,Apparel,Kurta,8,430.14,15,2924.95,2500.18,424.77,UPI,CUST2540
ORD100080,2024-01-29,South,Home & Kitchen,Mixer Grinder,5,1047.93,10,4715.69,4012.44,703.25,Net Banking,CUST2365
ORD100081,2025-05-14,West,Home & Kitchen,Cookware Set,1,3796.91,25,2847.68,2803.43,44.25,Debit Card,CUST2810
ORD100082,2025-03-20,Central,Home & Kitchen,Mixer Grinder,6,2864.57,0,17187.42,10872.13,6315.29,Net Banking,CUST1172
ORD100083,2025-10-14,East,Electronics,Laptop,2,28225.91,0,56451.82,32725.37,23726.45,Credit Card,CUST1828
ORD100084,2024-12-26,South,Electronics,Tablet,7,44813.48,10,282324.92,247988.92,34336.0,Net Banking,CUST2214
ORD100085,2025-05-22,East,Home & Kitchen,Cookware Set,1,469.13,5,445.67,309.2,136.47,UPI,CUST3105
ORD100086,2025-07-09,East,Home & Kitchen,Bedsheet Set,5,317.09,20,1268.36,1236.3,32.06,Credit Card,CUST2699
ORD100087,2024-08-14,East,Electronics,Smartwatch,3,58164.29,5,165768.23,123427.47,42340.76,Credit Card,CUST2549
ORD100088,2024-05-22,South,Electronics,Headphones,1,37727.97,10,33955.17,29250.1,4705.07,Net Banking,CUST2035
ORD100089,2024-11-25,Central,Apparel,Sneakers,8,1668.91,0,13351.28,8463.58,4887.7,COD,CUST2145
ORD100090,2024-12-13,North,Sports,Cricket Bat,4,1935.24,5,7353.91,5387.04,1966.87,Credit Card,CUST1868
ORD100091,2024-02-10,North,Apparel,Kurta,4,3946.91,10,14208.88,10799.13,3409.75,Net Banking,CUST1928
ORD100092,2025-12-24,West,Sports,Yoga Mat,3,3316.77,20,7960.25,7277.95,682.3,UPI,CUST2838
